DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-108.6809338,0.035591272,6961962741,8.12E-06,12506275765,9.44E-06,1.98211E+11,1.18E-05,1.73E-05,1.011797216,0.21783334,0.208813978,0.21783334
-44.75721648,0.031661159,9081465393,1.26E-05,22174158790,6.96E-06,2.02837E+11,1.14E-05,2.10E-06,1.477037128,0.068714199,0.128544381,0.128544381
-58.01200484,0.027717023,9631309184,1.00E-05,13961180957,5.71E-06,2.06618E+11,1.05E-05,1.65E-05,1.545950814,0.084376179,0.132188551,0.132188551
-69.02844361,0.032720032,5062844223,1.22E-05,10725193489,1.02E-05,1.98806E+11,1.09E-05,3.90E-06,2.064040395,0.10159966,0.194895312,0.194895312
-47.70240202,0.021108463,6719448518,8.50E-06,35091461968,5.58E-06,1.97219E+11,1.29E-05,1.08E-05,2.381796895,0.092382191,0.092217128,0.092382191
-33.58774811,0.02063901,6420987585,9.98E-06,10098317639,7.17E-06,2.03016E+11,1.18E-05,6.52E-06,2.311016541,0.051944473,0.076568056,0.076568056
-77.60784185,0.025295626,5445381216,1.12E-05,14566595047,5.15E-06,1.93306E+11,1.12E-05,4.86E-05,1.075634199,0.112836143,0.195023595,0.195023595
-115.7336544,0.029606911,10338922186,1.01E-05,28332799022,6.61E-06,1.90677E+11,1.14E-05,1.20E-06,1.936671273,0.192439054,0.268469607,0.268469607
-113.3336178,0.026071327,5074162851,1.07E-05,15130904417,5.45E-06,2.0895E+11,1.15E-05,1.62E-05,1.211970358,0.178178088,0.27366339,0.27366339
-84.40611205,0.0208435,7687867085,9.53E-06,18207499766,6.56E-06,2.08662E+11,1.11E-05,8.69E-06,2.264219495,0.122767914,0.183259077,0.183259077
-30.29385165,0.028761214,16125601104,9.47E-06,19662399966,5.92E-06,1.93717E+11,1.13E-05,1.79E-05,1.10084569,0.051012672,0.065262741,0.065262741
