DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,r_inner,t_steel,k_cement,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-47.44421249,0.017819863,4590387902,1.21E-05,12713170278,9.45E-06,2.04907E+11,1.05E-05,3.84E-05,2.001232021,0.109159073,0.021552672,0.898065406,0.078614317,0.213960188,0.213960188
-22.91440673,0.050364682,11365861727,7.42E-06,7197865921,1.10E-05,1.90992E+11,1.13E-05,2.88E-05,0.710709936,0.134827325,0.024111326,1.747628828,0.179100502,0.180872511,0.180872511
-73.38204209,0.031531415,5860522334,1.41E-05,27756673620,4.67E-06,2.06187E+11,1.27E-05,9.13E-06,0.487844177,0.19149732,0.013019339,0.525351256,0.248582807,0.352085245,0.352085245
-67.56391846,0.056790408,3861637449,1.36E-05,17678835104,7.66E-06,1.94154E+11,1.18E-05,1.28E-05,3.134156317,0.147274695,0.015227039,1.491819771,0.179571778,0.334330242,0.334330242
-28.7564199,0.036550805,21616438714,8.83E-06,6250746430,1.03E-05,2.09271E+11,1.22E-05,4.04E-06,0.110547314,0.178940112,0.022048633,0.620625522,0.26938346,0.21191915,0.26938346
-41.60227308,0.043781836,8516073949,1.16E-05,11154583633,1.19E-05,1.95377E+11,1.31E-05,3.04E-06,0.277572415,0.151678677,0.019694102,1.274937294,0.225860048,0.279172291,0.279172291
-62.07701674,0.024245352,9721186412,1.08E-05,34743606684,6.08E-06,2.00573E+11,1.10E-05,9.57E-05,1.248075066,0.121630691,0.017582562,0.718439632,0.127398401,0.199314316,0.199314316
-60.2385354,0.051805242,7135807734,8.21E-06,16088229915,4.47E-06,1.92553E+11,1.16E-05,1.49E-05,0.662215301,0.115352864,0.016182205,0.689019537,0.175542824,0.143646562,0.175542824
-35.94032537,0.027352474,10615996484,1.35E-05,50125764960,1.15E-05,2.07749E+11,1.23E-05,4.73E-06,1.090262648,0.15795655,0.020541999,1.584619286,0.144731246,0.337526387,0.337526387
-34.40330209,0.043015576,3289314780,1.02E-05,25742888763,8.69E-06,1.96353E+11,1.35E-05,1.98E-06,2.716710517,0.185163054,0.024712164,0.83268852,0.28455152,0.278419715,0.28455152
-69.416607,0.016453415,24003977491,1.15E-05,9110291228,7.32E-06,2.0147E+11,1.06E-05,6.30E-05,0.265726654,0.141051799,0.012011445,1.296980935,0.10970846,0.238484216,0.238484216
